 ,0.667,2.252,,5,,,
499,0.151,0.292,,47,,,
500,0.133,0.283,,46,,,
501,0.138,0.29,,48,,,
502,0.134,0.281,,45,,,
503,0.145,0.308,,43,,,
504,0.125,0.286,,44,,,
505,0.125,0.312,,42,,,
506,0.14,0.294,,42,,,
507,0.143,0.323,,43,,,
508,0.127,0.327,,42,,,
509,0.141,0.309,,42,,,
510,0.141,0.323,,44,,,
511,0.116,0.315,,44,,,
512,0.142,0.326,,46,,,
513,0.12,0.334,,47,,,
514,0.146,0.349,,48,,,
515,0.125,0.343,,50,,,
516,0.134,0.347,,52,,,
517,0.129,0.355,,54,,,
518,0.145,0.379,,59,,,
519,0.127,0.382,,64,,,
520,0.15,0.38,,68,,,
521,0.133,0.398,,73,,,
522,0.131,0.39,,79,,,
523,0.151,0.411,,83,,,
524,0.122,0.391,,87,,,
525,0.16,0.429,,88,,,
526,0.122,0.418,,89,,,
527,0.143,0.438,,88,,,
528,0.121,0.429,,85,,,
529,0.144,0.455,,83,,,
530,0.138,0.475,,79,,,
531,0.151,0.46,,74,,,
532,0.15,0.487,,70,,,
533,0.148,0.481,,65,,,
534,0.154,0.508,,61,,,
535,0.135,0.514,,56,,,
536,0.157,0.531,,52,,,
537,0.134,0.515,,48,,,
538,0.159,0.556,,44,,,
539,0.087,0.498,,40,,,
540,0.151,0.58,,38,,,
541,0.135,0.567,,34,,,
542,0.142,0.582,,32,,,
543,0.142,0.626,,31,,,
544,0.136,0.617,,29,,,
545,0.149,0.648,,26,,,
546,0.135,0.648,,25,,,
547,0.143,0.673,,24,,,
548,0.13,0.682,,23,,,
549,0.141,0.707,,22,,,
550,0.125,0.716,,20,,,
551,0.143,0.746,,20,,,
552,0.117,0.761,,20,,,
553,0.144,0.786,,19,,,
554,0.128,0.801,,18,,,
555,0.109,0.821,,18,,,
556,0.114,0.869,,,,,
557,0.1,0.859,,,,,
558,0.116,0.919,,,,,
559,0.101,0.92,,,,,
560,0.114,0.965,,,,,
561,0.118,0.996,,,,,
562,0.119,1.031,,,,,
563,0.116,1.066,,,,,
564,0.111,1.084,,,,,
565,0.101,1.147,,,,,
566,0.128,1.187,,,,,
567,0.128,1.23,,,,,
568,0.131,1.267,,,,,
569,0.16,1.331,,,,,
570,0.155,1.367,,,,,
571,0.155,1.439,,,,,
572,0.161,1.459,,,,,
573,0.153,1.494,,,,,
574,0.167,1.547,,,,,
575,0.172,1.571,,,,,
576,0.163,1.629,,,,,
577,0.154,1.634,,,,,
578,0.169,1.7,,,,,
579,0.157,1.705,,,,,
580,0.176,1.808,,,,,
581,0.155,1.784,,,,,
582,0.175,1.877,,,,,
583,0.159,1.854,,,,300,1.585
584,0.166,1.994,,,,301,1.633
585,0.173,1.98,,,,302,1.627
586,0.17,2.066,,,,303,1.63
587,0.17,2.08,,,,304,1.609
588,0.153,2.127,,,,305,1.618
589,0.17,2.198,,,,306,1.657
590,0.157,2.213,,,,307,1.638
591,0.162,2.267,,,,308,1.623
592,0.158,2.317,,,,309,1.685
593,0.167,2.347,,,,310,1.679
594,0.152,2.434,,,,311,1.716
595,0.165,2.478,,,,312,1.74
596,0.164,2.367,,,,313,1.762
597,0.167,2.498,,,,314,1.779
598,0.149,2.411,,,,315,1.805
599,0.171,2.422,,,,316,1.818
600,0.181,2.623,,,,317,1.883
601,0.145,2.542,,,,318,1.943
602,0.144,2.606,,,,319,1.921
603,0.15,2.929,,,,320,2.076
604,0.145,2.59,,,,321,2.055
605,0.148,2.433,,,,322,2.079
606,0.172,2.74,,,,323,2.123
607,0.161,2.828,,,,324,2.122
608,0.17,2.683,,,,325,2.286
609,0.17,2.83,,,,326,2.297
610,0.15,2.767,,,,327,2.256
611,0.162,2.739,,,,328,2.46
612,0.156,2.809,,,,329,2.331
613,0.162,2.813,,,,330,2.414
614,0.156,2.633,,,,331,2.48
615,0.158,2.909,,,,332,2.532
616,0.156,2.668,,,,333,2.685
617,0.167,2.741,,,,334,2.493
618,0.145,2.609,,,,335,2.414
619,0.142,2.588,,,,336,2.503
620,0.132,2.479,,,,337,2.491
621,0.102,2.56,,,,338,2.469
622,0.124,2.572,,,,339,2.565
623,0.092,2.422,,,,340,2.474
624,0.114,2.555,,,,341,2.435
625,0.102,2.668,,,,342,2.357
626,0.097,2.524,,,,343,2.388
627,0.103,2.417,,,,344,2.431
628,0.094,2.356,,,,345,2.312
629,0.094,2.367,,,,346,2.284
630,0.112,2.282,,,,347,2.299
631,0.165,2.342,,,,348,2.213
632,0.184,2.349,,,,349,2.274
633,0.19,2.301,,,,350,2.204
634,0.184,2.255,,,,351,2.156
635,0.164,2.232,,,,352,2.078
636,0.191,2.225,,,,353,2.044
637,0.154,2.18,,,,354,1.972
638,0.19,2.151,,,,355,1.937
639,0.155,2.112,,,,356,1.836
640,0.174,2.062,,,,357,1.829
641,0.177,2.003,,,,358,1.76
642,0.187,2.003,,,,359,1.734
643,0.179,1.971,,,,360,1.653
644,0.186,1.916,,,,361,1.624
645,0.183,1.923,,,,362,1.561
646,0.16,1.859,,,,363,1.523
647,0.166,1.831,,,,364,1.491
648,0.173,1.816,,,,365,1.452
649,0.175,1.805,,,,366,1.378
650,0.181,1.762,,,,367,1.356
651,0.179,1.756,,,,368,1.331
652,0.184,1.709,,,,369,1.295
653,0.185,1.719,,,,370,1.266
654,0.187,1.695,,,,371,1.232
655,0.186,1.666,,,,372,1.16
656,0.187,1.645,,,,373,1.149
657,0.167,1.642,,,,374,1.051
658,0.18,1.626,,,,375,1.049
659,0.187,1.616,,,,376,0.971
660,0.184,1.623,,,,377,0.978
661,0.165,1.59,,,,378,0.903
662,0.159,1.592,,,,379,0.894
663,0.158,1.579,,,,380,0.848
664,0.176,1.562,,,,381,0.823
665,0.192,1.53,,,,382,0.806
666,0.174,1.509,,,,383,0.759
667,0.176,1.508,,,,384,0.735
668,0.165,1.482,,,,385,0.684
669,0.185,1.484,,,,386,0.673
670,0.151,1.43,,,,387,0.643
671,0.186,1.436,,,,388,0.636
672,0.183,1.388,,,,389,0.603
673,0.186,1.395,,,,390,0.577
674,0.183,1.343,,,,391,0.554
675,0.178,1.338,,,,392,0.525
676,0.18,1.292,,,,393,0.529
677,0.182,1.248,,,,394,0.497
678,0.181,1.219,,,,395,0.471
679,0.16,1.207,,,,396,0.443
680,0.173,1.173,,,,397,0.424
681,0.163,1.153,,,,398,0.418
682,0.178,1.123,,,,399,0.417
683,0.182,1.079,,,,400,0.381
